common_name,site,weight
AYE AYE,MAK,5
AYE AYE,RNP,14
BAMBOO LEMUR,MAK,1
BAT,MAK,12
BAT,MAS,1
BAT,MTD,11
BIRD,MAK,982
BIRD,MAS,51
BIRD,MTD,1743
BIRD,RNP,136
BIRD,TGK,4
BIRD UNK,ASSR,75
BIRD?,MAK,1
BLACK RAT,MAK,70
BLACK RAT,RNP,74
BLACKED OUT,RNP,33
BLUE COUA,ASSR,9
BLUE COUA,MAK,5
BLUE COUA,RNP,29
BOKIBOKY,BET,43
BOOPHIS SPP,ASSR,1
BROAD BILLED ROLLER,ASSR,1
BROAD STRIPED MONGOOSE,MAK,68
BROAD STRIPED MONGOOSE,RNP,105
BROAD STRIPED MONGOOSE,TGK,23
BROAD STRIPED VONTSIRA,MAK,41
BROAD STRIPED VONTSIRA,MAS,18
BROAD STRIPED VONTSIRA,RNP,72
BROAD STRIPPED MONGOOSE,MAK,1
BROAD STRIPPED VONTSIRA,MTD,29
BROWN LEMUR,MTD,19
BROWN LEMUR,RNP,1
BROWN MESITE,MAK,4
BROWN MESITE,MAS,29
BROWN TAILED MONGOOSE,MAK,36
BROWN TAILED VONSTIRA,MAK,1
BROWN TAILED VONTSIRA,BET,43
BROWN TAILED VONTSIRA,MAK,23
BROWN TAILED VONTSIRA,MAS,176
BUG,ASSR,11
BUG,MAK,1
BULBUL,ASSR,1
BUSH PIG,ASSR,13
BUSH PIG,MAK,45
BUSH PIG,RNP,26
BUSHPIG,MAK,4
BUSHPIG,RNP,618
BUSHPIG,TGK,2
BUTTERFLY,MAK,4
CAMERA MALFUNCTION,MAK,3
CANIS FAMILIARIS,ASSR,72
CAT,BET,20
CAT,MAS,1
CAT,MTD,74
CAT,RNP,1
CENTIPEDE,MAK,1
CHAMELEON,MAK,1
CHICKENS,RNP,4
COMMON MYNA,RNP,1
COMMON QUAIL,RNP,13
COMMON STONECHAT,RNP,3
COMMON TENREC,MAK,55
COMMON TENREC,RNP,251
COMMON TENREC,TGK,2
COUA,MAK,59
COUA,MAS,8
COUA?,MAK,1
COUCAL,MAK,1
CRAB,MAS,1
CRESTED DRONGO,ASSR,3
CRESTED IBIS,ASSR,203
CRESTED IBIS,MAK,38
CRESTED IBIS,MTD,5
CRESTED IBIS,RNP,43
CRICKET?,MAK,2
CROSSLEY'S BABBLER,MAK,7
CROSSLEY'S VANGA,RNP,1
CRYPTOPROCTA FEROX,ASSR,17
DIADEM SAFIKA,MTD,5
DIURNAL RODENT,MAK,2
DOG,BET,240
DOG,MAK,99
DOG,MAS,3
DOG,MTD,249
DOG,RNP,578
DOG?,MAK,1
DOMESTIC CAT,MAK,4
DOMESTIC CHICKEN,MAK,5
DOMESTIC DOG,MAK,1214
DUSKY GREENBUL,MAS,1
DUSKY TETRAKA,MAS,3
EASTERN GREY BAMBOO LEMUR,MTD,13
EASTERN LESSER BAMBOO LEMUR,RNP,4
EASTERN RED FOREST RAT,MAK,125
EASTERN RED FOREST RAT,MAS,63
EASTERN RED FOREST RAT,RNP,118
EASTERN RED FOREST RAT,TGK,142
EULEMUR ALBIFRONS,ASSR,23
EUPLERES GOUDOTTI,ASSR,2
EUPLERID,MAS,5
FALANOUC,BET,4
FALANOUC,MAK,231
FALANOUC,MAS,7
FALANOUC,MTD,276
FALANOUC,RNP,62
FANALOKA,MAK,527
FANALOKA,MAS,474
FANALOKA,MTD,539
FANALOKA,RNP,1580
FERAL CAT,MAK,259
FINENGO,MAK,55
FLEURETTE'S SPORTIVE LEMUR,TGK,19
FLYING INSECT,MAK,1
FOREST RAT,MAK,271
FOREST RED RAT,MAK,25
FOREST ROCK THRUSH,RNP,1
FOSA,BET,130
FOSA,MAK,250
FOSA,MTD,161
FOSA,RNP,614
FOSA,TGK,34
FOSSA,MAK,166
FOSSA,MAS,47
FOSSA,RNP,65
FOSSA FOSSANA,ASSR,168
FRANCES SPARROWHAWK,ASSR,4
FRANCES'S SPARROWHAWK,MAK,2
FROG,MAK,3
FROG?,MAK,1
GALIDA ELEGANS,ASSR,17
GALIDICTUS FASCIATA,ASSR,35
GIANT WALKING STICK?,MAK,1
GOAT,RNP,13
GOLDEN BAMBOO LEMUR,RNP,1
GREATER DWARF LEMUR,RNP,1
GREATER HEDGEHOD TENREC,MAK,1
GREATER HEDGEHOD TENREC,RNP,22
GREATER HEDGEHOG TENREC,MAK,111
GREATER HEDGEHOG TENREC,TGK,11
GREENBUL,MAK,1
GREENBUL?,MAK,1
HAPALEMUR OCCIDENTALIS,ASSR,7
HARLEQUIN QUAIL,MAK,1
HAWK OR FALCON,MAK,2
HEDGEHOG TENREC,ASSR,260
HEDGEHOG TENREC,MAK,63
HEDGEHOG TENREC,MAS,2
HEGEHOG TENREC,MAK,1
HELMET VANGA,MAK,5
HELMETED GUINEA FOWL,MAK,1
HELMETED GUINEA FOWL,RNP,14
HELMETED GUINEAFOWL,MAK,9
HELMETED GUINEAFOWL,RNP,2
HENST'S GOSHAWK,RNP,94
HIGHLAND STREAKED TENREC,RNP,11
HORSE,MTD,9
HUMAN,MAK,13587
HUMAN,MAS,137
HUMAN,MTD,2426
HUMAN,RNP,4996
HUMAN,TGK,264
IALATSARA STAFF,RNP,9
IBIS,MAK,1
INDIAN CIVET,BET,1
INDIAN CIVET,MAK,39
INDIAN CIVET,MTD,15
INDIAN CIVET,RNP,76
INFO FROM AJB01 DC03 9437,MAK,1
INSECT,MAK,10
INSECT,RNP,1
LAMPIRA,MAK,84
LEMUR,MAK,9
LEMUR,MAS,5
LEMUR,RNP,8
LEMUR,TGK,4
LEMUR UNK,ASSR,6
LEMUR?,MAK,1
LEPI LEMUR,MTD,12
LEPILEMU SP.,RNP,1
LEPILEMUR,ASSR,1
LEPILEMUR,RNP,5
LESSER BAMBOO LEMUR,RNP,6
LIZARD,ASSR,12
LIZARD,MAK,5
LIZARD,MAS,13
LIZARD,RNP,1
LOCAL,RNP,484
LONG BILLED GREENBUL,MAK,1
LOWLAND RED FOREST RAT,MAK,1
LOWLAND RED RAT,MAK,2
LOWLAND STREAKED TENEREC,ASSR,13
LOWLAND STREAKED TENREC,MAK,6
LOWLAND STREAKED TENREC,MAS,94
LOWLAND STREAKED TENREC,RNP,5
MADAGACAR HOOPOE,RNP,2
MADAGASCAN FLYING FOX,TGK,1
MADAGASCAR BUZZARD,RNP,18
MADAGASCAR CISTICOLA,MAK,7
MADAGASCAR COUCAL,MAK,1
MADAGASCAR CRESTED IBIS,MAK,107
MADAGASCAR CRESTED IBIS,MAS,114
MADAGASCAR CRESTED IBIS,RNP,548
MADAGASCAR CRESTED IBIS,TGK,28
MADAGASCAR CUCKOO,RNP,4
MADAGASCAR FISH EAGLE,MAK,1
MADAGASCAR FLUFFTAIL,RNP,1
MADAGASCAR HEDGEHOG TENREC,MAK,13
MADAGASCAR HELMETED GUINEAFOWL,MAS,1
MADAGASCAR IBIS,MAS,9
MADAGASCAR LONG EARED OWL,MAK,1
MADAGASCAR MAGPIE ROBIN,MAK,311
MADAGASCAR MAGPIE ROBIN,MAS,44
MADAGASCAR MAGPIE ROBIN,RNP,307
MADAGASCAR MAGPIE ROBIN,TGK,1
MADAGASCAR PARADISE FLYCATCHER,MAK,1
MADAGASCAR PARADISE FLYCATCHER,TGK,1
MADAGASCAR PARTRIDGE,RNP,13
MADAGASCAR RAIL,MAS,1
MADAGASCAR RAIL,RNP,17
MADAGASCAR SERPENT EAGLE,MAK,1
MADAGASCAR SPARROWHAWK,MAS,1
MADAGASCAR TURLE DOVE,MAK,2
MADAGASCAR TURTLE DOVE,MAK,327
MADAGASCAR TURTLE DOVE,MAS,89
MADAGASCAR TURTLE DOVE,RNP,168
MADAGASCAR TURTLE DOVE,TGK,53
MADAGASCAR WAGTAIL,MAK,1
MADAGASCAR WAGTAIL,RNP,10
MADAGASCAR WHITE EYE,MAS,1
MADAGASCAR WOOD RAIL,MAK,261
MADAGASCAR WOOD RAIL,MAS,89
MADAGASCAR WOOD RAIL,RNP,7
MADAGASCAR WOOD RAIL,TGK,11
MAGPIE ROBIN,ASSR,232
MALAGASY BRUSH WARBLER,RNP,3
MALAGASY CIVET,MAK,468
MALAGASY CIVET,RNP,86
MALAGASY CIVET,TGK,65
MALAGASY MAGPIE ROBIN,MAS,3
MALAGASY SCOPS OWL,MAK,5
MALAGASY TURTLE DOVE,MAK,16
MALAGASY WHITE EYE,MAS,1
MAMMAL,MAS,14
MICROGALE,MAK,1
MILLIPEDE,MAK,1
MILNE EDWARDS' SIFAKA,RNP,7
MOUSE,MAK,3
MOUSE LEMUR,MAS,1
MOUSE LEMUR,MTD,7
MUSK SHREW,MAK,34
NIGHTJAR,RNP,1
NOCTURNAL RODENT,MAK,17
NORTHERN BAMBOO LEMUR,MAS,1
NOTHING,MAK,4
NOTHING,RNP,1102
OTHER TENREC,RNP,18
PIDGEON,ASSR,179
PIG,MAK,1
PIG,RNP,7
PITA LIKE GROUND ROLLER,MAK,1
PITA LIKE GROUND ROLLER,RNP,24
PITTA LIKE GROUND ROLLER,ASSR,1
PITTA LIKE GROUND ROLLER,MAK,4
PITTA LIKE GROUND ROLLER,MAS,1
PITTA LIKE GROUND ROLLER,RNP,19
PITTA LIKE GROUNDROLLER,RNP,18
PLANT,MAK,1
PROPITHECUS CANDIDUS,ASSR,1
PYGMY KINGFISHER,ASSR,1
RAPTOR,RNP,1
RAT,MAK,428
RAT,RNP,863
RED BELLIED LEMUR,MTD,4
RED BELLIED LEMUR,RNP,3
RED BREASTED COUA,ASSR,126
RED BREASTED COUA,MAK,959
RED BREASTED COUA,MAS,734
RED CAPPED COUA,ASSR,59
RED CAPPED COUA,MAK,35
RED CAPPED COUA,MAS,3
RED COLLARED BROWN LEMUR,TGK,17
RED FOREST RAT,MAK,497
RED FOREST RAT,MAS,7
RED FRONTED BROWN LEMUR,RNP,57
RED FRONTED COUA,MAK,46
RED FRONTED COUA,MAS,34
RED FRONTED COUA,RNP,132
RED FRONTED COUA,TGK,14
RED LEMUR,MTD,1
RED RUFFED LEMUR,MAS,2
REPTILE,MAK,6
RESEARCHER,RNP,862
RING TAIL MONGOOSE,MAK,3
RING TAILED MONGOOSE,MAK,117
RING TAILED MONGOOSE,RNP,2336
RING TAILED VONTSIRA,BET,75
RING TAILED VONTSIRA,MAK,120
RING TAILED VONTSIRA,MAS,44
RING TAILED VONTSIRA,MTD,13
RING TAILED VONTSIRA,RNP,121
RING TAILED VOTSIRA,TGK,17
RODENT,ASSR,503
RODENT,MAK,65
RODENT,MAS,231
RODENT,MTD,2922
RUFOUS HEADED GROUND ROLLER,MAK,1
RUFOUS HEADED GROUND ROLLER,RNP,2
RUFOUS HEADED GROUNDROLLER,RNP,20
SCALEY GROUND ROLLER,MAK,1
SCALY GROUND ROLLER,ASSR,170
SCALY GROUND ROLLER,MAK,340
SCALY GROUND ROLLER,MAS,22
SCALY GROUND ROLLER,RNP,9
SCALY GROUND ROLLER,TGK,3
SHORT LEGGED GROUND ROLLER,ASSR,1
SHREW,MAK,11
SHREW LIKE MAMMAL,MAK,1
SHREW LIKE SMALL MAMMAL,MAK,1
