common_name,max_elevation,avg_elevation,min_elevation,max_near_vill,avg_near_vill,min_near_vill
,825,704.5,584,4412,1601.33333333333,840
AYE AYE,1113,1113.0,1113,NULL,0.0,NULL
AYE-AYE,NULL,107.870967741935,409,NULL,462.064516129032,2428
BAMBOO LEMUR,404,404.0,404,2942,2942.0,2942
BAT,1141,704.666666666667,45,NULL,1094.04166666667,1748
BIRD,NA,862.432270168856,33,NULL,836.167961524232,90
BIRD-UNK,1023,987.56,937,3052,2413.45333333333,1312
BLACK RAT,NULL,219.523364485981,360,NULL,1402.28037383178,2128
BLACKED OUT,1585,1546.21212121212,1545,NULL,0.0,NULL
BLUE COUA,NULL,38.984126984127,365,NULL,265.301587301587,2137
BLUE-COUA,1023,993.888888888889,969,2817,2136.44444444444,1312
BOKIBOKY,563,494.790697674419,241,NA,0.0,NA
BOOPHIS-SPP,950,950.0,950,1511,1511.0,1511
BROAD STRIPED MONGOOSE,861,513.133333333333,369,3562,2776.03333333333,2128
BROAD-BILLED-ROLLER,950,950.0,950,2550,2550.0,2550
BROAD-STRIPED MONGOOSE,89m,923.810650887574,363,NULL,612.418604651163,400
BROAD-STRIPED VONTSIRA,NULL,143.666666666667,33,NULL,962.238805970149,1913
BROAD-STRIPPED VONTSIRA,1168,1038.89655172414,939,NULL,0.0,NULL
BROWN LEMUR,1138,983.25,937,NULL,0.0,NULL
BROWN MESITE,528,339.242424242424,161,NULL,327.424242424242,2399
BROWN TAILED MONGOOSE,703,535.272727272727,405,3710,3085.45454545455,1748
BROWN-TAILED MONGOOSE,538,470.8,446,3630,2855.48,2000
BROWN-TAILED VONSTIRA,458,458.0,458,3216,3216.0,3216
BROWN-TAILED VONTSIRA,680,281.99173553719,33,NULL,267.764462809917,1748
BUG,601,960.5,963,3034,2420.41666666667,792
BULBUL,999,999.0,999,2316,2316.0,2316
BUSH PIG,1360,779.904109589041,371,11732,3010.22680412371,400
BUSHPIG,NULL,0.617124394184168,301m,NULL,0.0,NULL
BUTTERFLY,1300,699.0,360,9461,4683.0,3025
CANIS-FAMILIARIS,1057,976.986111111111,845,3717,2078.44444444444,449
CAT,1168,882.677083333333,124,NULL,0.0,NA
CENTIPEDE,680,680.0,680,6339,6339.0,6339
CHAMELEON,1120,1120.0,1120,12432,12432.0,12432
CHICKENS,1615,1420.5,955,NULL,269.2,630
COMMON MYNA,1610,1610.0,1610,NULL,0.0,NULL
COMMON QUAIL,1512,1476.53846153846,1450,NULL,0.0,NULL
COMMON STONECHAT,1518,1516.0,1515,NULL,0.0,NULL
COMMON TENREC,NULL,903.478753541076,373,NULL,981.033994334278,2000
COUA,886,470.061538461538,230,NULL,2908.55384615385,929
COUA?,1200,1200.0,1200,9980,9980.0,9980
COUCAL,564,564.0,564,3162,3162.0,3162
CRAB,45,45.0,45,NULL,0.0,NULL
CRESTED IBIS,1450,850.935064935065,349,NULL,1211.54545454545,904
CRESTED-DRONGO,950,941.333333333333,937,3052,2538.33333333333,1511
CRESTED-IBIS,1057,974.975961538462,845,NULL,2359.14903846154,449
CROSSLEY'S BABBLER,1300,931.428571428571,502,11637,7764.71428571429,2399
CROSSLEY'S VANGA,NULL,0.0,NULL,NULL,0.0,NULL
CRYPTOPROCTA-FEROX,1028,989.117647058824,943,3259,2330.11764705882,1312
DIADEM SAFIKA,1104,1057.4,946,NULL,0.0,NULL
DIURNAL RODENT,673,673.0,673,3710,3710.0,3710
DOG,NULL,869.160839160839,124,NULL,321.239599383667,90
DOG?,371,371.0,371,1243,1243.0,1243
DOMESTIC CAT,1400,1335.0,1280,11732,10761.0,9461
DOMESTIC CHICKEN,609,489.0,382,4382,3621.2,2714
